ARTWORK_ID,ARTWORK_TITLE,ARTWORK_CREATION_YEAR,ACQUSITION_DATE,PROC_OFFICER_NAME
203,Study for an Office Building,1980,1992-01-15 00:00:00,Gift of Kenneth Walker
204,Egg of Columbus Circle,1975,1992-01-15 00:00:00,Gift of Kenneth Walker
205,Arch Oboler Guest House (Eleanor's Retreat),1941,1992-01-15 00:00:00,Arthur Drexler Fund
206,Arch Oboler Guest House (Eleanor's Retreat),1941,1992-01-15 00:00:00,Arthur Drexler Fund
207,Arch Oboler Guest House (Eleanor's Retreat),1941,1992-01-15 00:00:00,Arthur Drexler Fund
208,Arch Oboler Guest House (Eleanor's Retreat),1941,1992-01-15 00:00:00,Arthur Drexler Fund
209,"Exhibition ""Mario Bellini: Designer.""",1987,1988-04-27 00:00:00,Gift of the designer
210,City Hall,1965,1988-04-27 00:00:00,"Gift of Venturi, Rauch and Scott Brown, Inc."
211,House,1978,1988-04-27 00:00:00,"Gift of Venturi, Rauch and Scott Brown, Inc."
212,Gordon Wu Hall,1981,1988-04-27 00:00:00,"Gift of Venturi, Rauch and Scott Brown, Inc."
213,Gordon Wu Hall,1981,1988-04-27 00:00:00,"Gift of Venturi, Rauch and Scott Brown, Inc."
215,Lewis Thomas Laboratory for Molecular Biology,1983,1988-04-27 00:00:00,"Gift of Venturi, Rauch and Scott Brown, Inc."
219,Center for Applied Computer Research,1975,1992-01-15 00:00:00,Gift of the architect
220,Hospital: House of Hope,1979,1995-05-09 00:00:00,Gift of Dorothy and Leroy Lavine
221,Church on the Water,1988,1993-05-04 00:00:00,Gift of the architect
222,Church on the Water,1988,1993-05-04 00:00:00,Gift of the architect
223,Church on the Water,1988,1993-05-04 00:00:00,Gift of the architect
224,Chikatsu-Asuka Historical Museum,1991,1993-05-04 00:00:00,Gift of the architect
225,Nara Convention Hall,1992,1993-05-04 00:00:00,Gift of the architect
226,Nara Convention Hall,1992,1993-05-04 00:00:00,Gift of the architect
227,Nara Convention Hall,1992,1993-05-04 00:00:00,Gift of the architect
228,Nara Convention Hall,1992,1993-05-04 00:00:00,Gift of the architect
229,Nara Convention Hall,1992,1993-05-04 00:00:00,Gift of the architect
230,Nara Convention Hall,1992,1993-05-04 00:00:00,Gift of the architect
231,Nara Convention Hall,1992,1993-05-04 00:00:00,Gift of the architect
232,Contra-Construction Project (Axonometric),1923,1947-06-17 00:00:00,"Gift of Edgar Kaufmann, Jr."
233,Nara Convention Hall,1992,1993-05-04 00:00:00,Gift of the architect
235,Nara Convention Hall,1992,1993-05-04 00:00:00,Gift of the architect
237,Nara Convention Hall,1992,1993-05-04 00:00:00,Gift of the architect
238,Nara Convention Hall,1992,1993-05-04 00:00:00,Gift of the architect
239,Nara Convention Hall,1992,1993-05-04 00:00:00,Gift of the architect
240,Parc de la Villette,1983,1993-05-04 00:00:00,Gift of Barbara Pine
241,American System-Built Houses for The Richards Company,1917,1993-05-04 00:00:00,"Gift of David Rockefeller, Jr. Fund, Ira Howard Levy Fund, and Jeffrey P. Klein Purchase Fund"
242,American System-Built Houses for The Richards Company.,1917,1993-05-04 00:00:00,"Gift of David Rockefeller, Jr. Fund, Ira Howard Levy Fund, and Jeffrey P. Klein Purchase Fund"
243,American System-Built Houses for The Richards Company,1917,1993-05-04 00:00:00,"Gift of David Rockefeller, Jr. Fund, Ira Howard Levy Fund, and Jeffrey P. Klein Purchase Fund"
244,American System-Built Houses for The Richards Company,1917,1993-05-04 00:00:00,"Gift of David Rockefeller, Jr. Fund, Ira Howard Levy Fund, and Jeffrey P. Klein Purchase Fund"
245,American System-Built Houses for The Richards Company,1917,1993-05-04 00:00:00,"Gift of David Rockefeller, Jr. Fund, Ira Howard Levy Fund, and Jeffrey P. Klein Purchase Fund"
