PROC_OFFICER_NAME,ARTWORK_ARTWORK_ID
Fractional and promised gift of Jo Carole and Ronald S. Lauder,2
Gift of the architect in honor of Lily Auchincloss,3
Gift of Jo Carole and Ronald S. Lauder,4
Purchase and partial gift of the architect in honor of Lily Auchincloss,5
Gift of Jo Carole and Ronald S. Lauder,6
Purchase and partial gift of the architect in honor of Lily Auchincloss,7
Purchase and partial gift of the architect in honor of Lily Auchincloss,8
Purchase and partial gift of the architect in honor of Lily Auchincloss,9
Purchase and partial gift of the architect in honor of Lily Auchincloss,10
Purchase and partial gift of the architect in honor of Lily Auchincloss,11
Purchase and partial gift of the architect in honor of Lily Auchincloss,12
Purchase and partial gift of the architect in honor of Lily Auchincloss,13
Purchase and partial gift of the architect in honor of Lily Auchincloss,14
Purchase and partial gift of the architect in honor of Lily Auchincloss,15
Purchase and partial gift of the architect in honor of Lily Auchincloss,16
Purchase and partial gift of the architect in honor of Lily Auchincloss,17
Purchase and partial gift of the architect in honor of Lily Auchincloss,18
Purchase and partial gift of the architect in honor of Lily Auchincloss,19
Purchase and partial gift of the architect in honor of Lily Auchincloss,20
Purchase and partial gift of the architect in honor of Lily Auchincloss,21
Purchase and partial gift of the architect in honor of Lily Auchincloss,22
Purchase and partial gift of the architect in honor of Lily Auchincloss,23
Purchase and partial gift of the architect in honor of Lily Auchincloss,24
Purchase and partial gift of the architect in honor of Lily Auchincloss,25
Purchase and partial gift of the architect in honor of Lily Auchincloss,26
Purchase and partial gift of the architect in honor of Lily Auchincloss,27
Purchase and partial gift of the architect in honor of Lily Auchincloss,28
Purchase and partial gift of the architect in honor of Lily Auchincloss,29
Purchase and partial gift of the architect in honor of Lily Auchincloss,30
Purchase and partial gift of the architect in honor of Lily Auchincloss,31
Purchase,32
Purchase and partial gift of the architect in honor of Lily Auchincloss,33
Gift of Jo Carole and Ronald S. Lauder,34
Purchase and partial gift of the architect in honor of Lily Auchincloss,35
Gift of Jo Carole and Ronald S. Lauder,36
Purchase and partial gift of the architect in honor of Lily Auchincloss,38
Gift of Jo Carole and Ronald S. Lauder,39
Purchase and partial gift of the architect in honor of Lily Auchincloss,41
Purchase and partial gift of the architect in honor of Lily Auchincloss,42
Purchase and partial gift of the architect in honor of Lily Auchincloss,43
Purchase and partial gift of the architect in honor of Lily Auchincloss,44
Purchase and partial gift of the architect in honor of Lily Auchincloss,45
Purchase and partial gift of the architect in honor of Lily Auchincloss,46
Purchase and partial gift of the architect in honor of Lily Auchincloss,47
Purchase and partial gift of the architect in honor of Lily Auchincloss,48
Purchase and partial gift of the architect in honor of Lily Auchincloss,49
Purchase and partial gift of the architect in honor of Lily Auchincloss,50
Purchase and partial gift of the architect in honor of Lily Auchincloss,52
Purchase and partial gift of the architect in honor of Lily Auchincloss,54
Purchase and partial gift of the architect in honor of Lily Auchincloss,55
Purchase and partial gift of the architect in honor of Lily Auchincloss,56
Purchase and partial gift of the architect in honor of Lily Auchincloss,57
Purchase and partial gift of the architect in honor of Lily Auchincloss,58
Purchase and partial gift of the architect in honor of Lily Auchincloss,59
Purchase and partial gift of the architect in honor of Lily Auchincloss,60
Purchase and partial gift of the architect in honor of Lily Auchincloss,61
Purchase and partial gift of the architect in honor of Lily Auchincloss,62
Purchase and partial gift of the architect in honor of Lily Auchincloss,63
Purchase and partial gift of the architect in honor of Lily Auchincloss,64
Purchase and partial gift of the architect in honor of Lily Auchincloss,65
Purchase and partial gift of the architect in honor of Lily Auchincloss,66
Purchase and partial gift of the architect in honor of Lily Auchincloss,67
Purchase and partial gift of the architect in honor of Lily Auchincloss,68
Gift of Henry G. Proskauer,76
Gift of Philip Johnson,79
Gift of Philip Johnson,81
Gift of Max Underwood,82
National Endowment for the Arts Project Funds,84
Gift of the Peter Norton Family Foundation,85
